Id,Term,Location Capacity,Name,Building Number,Room Number
005-0100,2204 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2218 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2222 ,40,005 Architecture & Environmental Design,005,0100
005-0100,2224 ,40,005 Architecture & Environmental Design,005,0100
005-0104,2182 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2184 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2188 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2192 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2194 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2198 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2202 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2218 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2222 ,40,005 Architecture & Environmental Design,005,0104
005-0104,2224 ,40,005 Architecture & Environmental Design,005,0104
005-0106,2182 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2184 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2188 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2192 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2194 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2198 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2202 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2218 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2222 ,18,005 Architecture & Environmental Design,005,0106
005-0106,2224 ,18,005 Architecture & Environmental Design,005,0106
005-0107,2182 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2184 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2188 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2192 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2194 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2198 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2202 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2218 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2222 ,40,005 Architecture & Environmental Design,005,0107
005-0107,2224 ,40,005 Architecture & Environmental Design,005,0107
005-0108,2182 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2184 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2188 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2192 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2194 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2198 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2202 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2218 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2222 ,16,005 Architecture & Environmental Design,005,0108
005-0108,2224 ,16,005 Architecture & Environmental Design,005,0108
005-0201,2182 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2184 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2188 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2192 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2194 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2202 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2218 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2222 ,16,005 Architecture & Environmental Design,005,0201
005-0201,2224 ,16,005 Architecture & Environmental Design,005,0201
005-0203,2182 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2184 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2188 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2192 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2194 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2198 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2202 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2218 ,16,005 Architecture & Environmental Design,005,0203
005-0203,2222 ,16,005 Architecture & Environmental Design,005,0203
